,$LINK:NO,FROMNODENO,TONODENO,FROMNODE\WKTLOCWGS84,TONODE\WKTLOCWGS84,From_Coords,To_Coords,Orig_Long,Orig_Lat,Dest_Long,Dest_Lat,Origins,Destinations,Response
0,100001,257952,258065,POINT(-0.73110 51.27600),POINT(-0.72260 51.27150),-0.73110 51.27600,-0.72260 51.27150,-0.7311,51.276,-0.7226,51.2715,51.276%2C-0.7311,51.2715%2C-0.7226,"{
   ""destination_addresses"" : [ ""51.2715,-0.7226"" ],
   ""origin_addresses"" : [ ""51.276,-0.7311"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""status"" : ""ZERO_RESULTS""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
1,100001,258065,257952,POINT(-0.72260 51.27150),POINT(-0.73110 51.27600),-0.72260 51.27150,-0.73110 51.27600,-0.7226,51.2715,-0.7311,51.276,51.2715%2C-0.7226,51.276%2C-0.7311,"{
   ""destination_addresses"" : [ ""51.276,-0.7311"" ],
   ""origin_addresses"" : [ ""51.2715,-0.7226"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""status"" : ""ZERO_RESULTS""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
2,100004,232189,232193,POINT(-2.84330 53.60580),POINT(-2.84250 53.59580),-2.84330 53.60580,-2.84250 53.59580,-2.8433,53.6058,-2.8425,53.5958,53.6058%2C-2.8433,53.5958%2C-2.8425,"{
   ""destination_addresses"" : [ ""53.5958,-2.8425"" ],
   ""origin_addresses"" : [ ""53.6058,-2.8433"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""status"" : ""ZERO_RESULTS""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
3,100004,232193,232189,POINT(-2.84250 53.59580),POINT(-2.84330 53.60580),-2.84250 53.59580,-2.84330 53.60580,-2.8425,53.5958,-2.8433,53.6058,53.5958%2C-2.8425,53.6058%2C-2.8433,"{
   ""destination_addresses"" : [ ""53.6058,-2.8433"" ],
   ""origin_addresses"" : [ ""53.5958,-2.8425"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""status"" : ""ZERO_RESULTS""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
4,100005,244531,244559,POINT(-1.75300 53.79700),POINT(-1.74930 53.79100),-1.75300 53.79700,-1.74930 53.79100,-1.753,53.797,-1.7493,53.791,53.797%2C-1.753,53.791%2C-1.7493,"{
   ""destination_addresses"" : [ ""53.791,-1.7493"" ],
   ""origin_addresses"" : [ ""53.797,-1.753"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""status"" : ""ZERO_RESULTS""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
5,100005,244559,244531,POINT(-1.74930 53.79100),POINT(-1.75300 53.79700),-1.74930 53.79100,-1.75300 53.79700,-1.7493,53.791,-1.753,53.797,53.791%2C-1.7493,53.797%2C-1.753,"{
   ""destination_addresses"" : [ ""53.797,-1.753"" ],
   ""origin_addresses"" : [ ""53.791,-1.7493"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""status"" : ""ZERO_RESULTS""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
6,100006,267933,268747,POINT(-0.12430 51.50830),POINT(-0.10320 51.51080),-0.12430 51.50830,-0.10320 51.51080,-0.1243,51.5083,-0.1032,51.5108,51.5083%2C-0.1243,51.5108%2C-0.1032,"{
   ""destination_addresses"" : [ ""51.5108,-0.1032"" ],
   ""origin_addresses"" : [ ""51.5083,-0.1243"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""status"" : ""ZERO_RESULTS""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
7,100006,268747,267933,POINT(-0.10320 51.51080),POINT(-0.12430 51.50830),-0.10320 51.51080,-0.12430 51.50830,-0.1032,51.5108,-0.1243,51.5083,51.5108%2C-0.1032,51.5083%2C-0.1243,"{
   ""destination_addresses"" : [ ""51.5083,-0.1243"" ],
   ""origin_addresses"" : [ ""51.5108,-0.1032"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""status"" : ""ZERO_RESULTS""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
8,100007,267662,268747,POINT(-0.13350 51.52810),POINT(-0.10320 51.51080),-0.13350 51.52810,-0.10320 51.51080,-0.1335,51.5281,-0.1032,51.5108,51.5281%2C-0.1335,51.5108%2C-0.1032,"{
   ""destination_addresses"" : [ ""51.5108,-0.1032"" ],
   ""origin_addresses"" : [ ""51.5281,-0.1335"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""status"" : ""ZERO_RESULTS""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
9,100007,268747,267662,POINT(-0.10320 51.51080),POINT(-0.13350 51.52810),-0.10320 51.51080,-0.13350 51.52810,-0.1032,51.5108,-0.1335,51.5281,51.5108%2C-0.1032,51.5281%2C-0.1335,"{
   ""destination_addresses"" : [ ""51.5281,-0.1335"" ],
   ""origin_addresses"" : [ ""51.5108,-0.1032"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""status"" : ""ZERO_RESULTS""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
10,100008,268747,269459,POINT(-0.10320 51.51080),POINT(-0.07540 51.51160),-0.10320 51.51080,-0.07540 51.51160,-0.1032,51.5108,-0.0754,51.5116,51.5108%2C-0.1032,51.5116%2C-0.0754,"{
   ""destination_addresses"" : [ ""51.5116,-0.0754"" ],
   ""origin_addresses"" : [ ""51.5108,-0.1032"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""status"" : ""ZERO_RESULTS""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
11,100008,269459,268747,POINT(-0.07540 51.51160),POINT(-0.10320 51.51080),-0.07540 51.51160,-0.10320 51.51080,-0.0754,51.5116,-0.1032,51.5108,51.5116%2C-0.0754,51.5108%2C-0.1032,"{
   ""destination_addresses"" : [ ""51.5108,-0.1032"" ],
   ""origin_addresses"" : [ ""51.5116,-0.0754"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""status"" : ""ZERO_RESULTS""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
12,100009,267983,268747,POINT(-0.12310 51.53080),POINT(-0.10320 51.51080),-0.12310 51.53080,-0.10320 51.51080,-0.1231,51.5308,-0.1032,51.5108,51.5308%2C-0.1231,51.5108%2C-0.1032,"{
   ""destination_addresses"" : [ ""51.5108,-0.1032"" ],
   ""origin_addresses"" : [ ""51.5308,-0.1231"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""status"" : ""ZERO_RESULTS""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
13,100009,268747,267983,POINT(-0.10320 51.51080),POINT(-0.12310 51.53080),-0.10320 51.51080,-0.12310 51.53080,-0.1032,51.5108,-0.1231,51.5308,51.5108%2C-0.1032,51.5308%2C-0.1231,"{
   ""destination_addresses"" : [ ""51.5308,-0.1231"" ],
   ""origin_addresses"" : [ ""51.5108,-0.1032"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""status"" : ""ZERO_RESULTS""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
14,100010,268747,269225,POINT(-0.10320 51.51080),POINT(-0.08570 51.50523),-0.10320 51.51080,-0.08570 51.50523,-0.1032,51.5108,-0.0857,51.50523,51.5108%2C-0.1032,51.50523%2C-0.0857,"{
   ""destination_addresses"" : [ ""51.50523,-0.0857"" ],
   ""origin_addresses"" : [ ""51.5108,-0.1032"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""status"" : ""ZERO_RESULTS""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
15,100010,269225,268747,POINT(-0.08570 51.50523),POINT(-0.10320 51.51080),-0.08570 51.50523,-0.10320 51.51080,-0.0857,51.50523,-0.1032,51.5108,51.50523%2C-0.0857,51.5108%2C-0.1032,"{
   ""destination_addresses"" : [ ""51.5108,-0.1032"" ],
   ""origin_addresses"" : [ ""51.50523,-0.0857"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""status"" : ""ZERO_RESULTS""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
